t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
12,0,2,8,IN_PROGRESS,0,3,0,1,1,0,0,0,0
12,1,3,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
12,2,4,1,IN_PROGRESS,0,6,2,4,1,0,0,0,0
12,3,5,1,IN_PROGRESS,0,8,3,6,1,0,0,0,0
12,4,6,5,IN_PROGRESS,1,0,1,3,0,0,0,0,0
12,5,6,7,IN_PROGRESS,0,1,1,3,1,0,0,0,0
12,6,8,1,IN_PROGRESS,0,0,3,6,0,0,0,0,0
12,7,9,1,IN_PROGRESS,0,0,2,6,0,0,0,0,0
12,8,10,1,IN_PROGRESS,0,10,3,7,1,0,0,0,0
12,9,11,5,IN_PROGRESS,1,0,1,4,0,0,0,0,0
12,10,11,7,IN_PROGRESS,0,1,1,2,1,0,0,0,0
12,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
12,12,14,1,IN_PROGRESS,0,9,3,6,1,0,0,0,0
12,13,15,1,IN_PROGRESS,0,11,3,5,1,0,0,0,0
12,14,16,6,IN_PROGRESS,0,2,2,4,1,0,0,0,0
12,15,15,5,IN_PROGRESS,1,0,1,7,0,0,0,0,0
12,16,16,1,IN_PROGRESS,0,11,3,6,1,0,0,0,0
12,17,20,5,IN_PROGRESS,0,1,1,4,1,0,0,0,0
12,18,18,6,IN_PROGRESS,0,4,2,3,1,0,0,0,0
12,19,21,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
12,20,22,1,IN_PROGRESS,0,0,2,2,0,0,0,0,0
12,21,23,1,IN_PROGRESS,0,17,2,2,1,0,0,0,0
12,22,2,15,IN_PROGRESS,0,13,2,3,1,0,0,0,0
12,23,3,16,IN_PROGRESS,0,24,3,4,1,0,0,0,0
12,24,3,17,IN_PROGRESS,0,10,3,4,1,0,0,0,0
12,25,3,18,IN_PROGRESS,0,2,3,4,1,0,0,0,0
12,26,6,18,IN_PROGRESS,1,0,2,6,0,0,0,0,0
12,27,9,18,IN_PROGRESS,1,0,2,7,0,0,0,0,0
12,28,8,15,IN_PROGRESS,0,1,0,4,1,0,0,0,0
12,29,9,22,IN_PROGRESS,0,0,1,3,0,0,0,0,0
12,30,10,22,IN_PROGRESS,0,11,1,3,1,0,0,0,0
12,31,10,18,IN_PROGRESS,0,0,2,9,0,0,0,0,0
12,32,12,15,IN_PROGRESS,0,9,1,6,1,0,0,0,0
12,33,14,18,IN_PROGRESS,1,15,2,5,1,0,0,0,0
12,34,13,16,IN_PROGRESS,0,2,3,5,1,0,0,0,0
12,35,13,18,IN_PROGRESS,0,2,3,5,1,0,0,0,0
12,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
12,37,17,15,IN_PROGRESS,0,2,0,3,1,0,0,0,0
12,38,18,22,IN_PROGRESS,0,0,4,5,0,0,0,0,0
12,39,19,22,IN_PROGRESS,0,6,4,5,1,0,0,0,0
12,40,20,22,IN_PROGRESS,0,11,4,5,1,0,0,0,0
12,41,21,22,IN_PROGRESS,0,0,4,5,0,0,0,0,0
12,42,21,16,IN_PROGRESS,0,1,0,1,1,0,0,0,0
12,43,23,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
13,0,3,8,IN_PROGRESS,0,2,1,1,0,0,0,0,0
13,1,3,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
13,2,4,1,IN_PROGRESS,0,6,2,4,2,0,0,1,0
13,3,5,1,IN_PROGRESS,0,8,3,6,2,0,0,1,0
13,4,6,5,IN_PROGRESS,1,9,1,3,1,0,0,0,0
13,5,6,8,IN_PROGRESS,0,0,2,3,0,0,0,0,0
13,6,8,1,IN_PROGRESS,0,0,3,6,0,0,0,0,0
13,7,9,1,IN_PROGRESS,0,0,2,6,0,0,0,0,0
13,8,10,1,IN_PROGRESS,0,10,3,7,2,0,0,1,0
13,9,11,5,IN_PROGRESS,1,11,1,4,1,0,0,0,0
13,10,11,8,IN_PROGRESS,0,0,1,2,0,0,0,0,0
13,11,13,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
13,12,14,1,IN_PROGRESS,0,9,3,6,2,0,0,1,0
13,13,15,1,IN_PROGRESS,0,11,3,5,2,0,0,1,0
13,14,16,7,IN_PROGRESS,0,1,2,2,0,0,0,0,0
13,15,15,5,IN_PROGRESS,1,19,1,6,1,0,0,0,0
13,16,16,1,IN_PROGRESS,0,11,3,5,2,0,0,1,0
13,17,21,5,IN_PROGRESS,0,0,0,3,0,0,0,0,0
13,18,18,7,IN_PROGRESS,0,3,1,3,0,0,0,0,0
13,19,21,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
13,20,22,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
13,21,23,1,IN_PROGRESS,0,17,2,2,2,0,0,1,0
13,22,3,15,IN_PROGRESS,0,12,2,3,0,0,0,0,0
13,23,3,16,IN_PROGRESS,0,24,3,4,2,0,0,1,0
13,24,3,17,IN_PROGRESS,0,10,3,4,2,0,0,1,0
13,25,4,18,IN_PROGRESS,0,1,3,5,0,0,0,0,0
13,26,6,18,IN_PROGRESS,1,10,2,5,1,0,0,0,0
13,27,9,18,IN_PROGRESS,1,8,3,7,1,0,0,0,0
13,28,9,15,IN_PROGRESS,0,0,1,4,0,0,0,0,0
13,29,9,22,IN_PROGRESS,0,6,1,3,1,0,0,0,0
13,30,10,22,IN_PROGRESS,0,11,1,3,2,0,0,1,0
13,31,10,18,IN_PROGRESS,1,0,1,7,0,0,0,0,0
13,32,12,14,IN_PROGRESS,0,8,1,3,0,0,0,0,0
13,33,14,17,IN_PROGRESS,1,14,2,4,0,0,0,0,0
13,34,13,15,IN_PROGRESS,0,1,2,5,0,0,0,0,0
13,35,14,18,IN_PROGRESS,0,1,1,4,0,0,0,0,0
13,36,16,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
13,37,18,15,IN_PROGRESS,0,1,1,2,0,0,0,0,0
13,38,18,22,IN_PROGRESS,0,0,4,5,0,0,0,0,0
13,39,19,22,IN_PROGRESS,0,6,4,5,2,0,0,1,0
13,40,20,22,IN_PROGRESS,0,11,4,5,2,0,0,1,0
13,41,21,22,IN_PROGRESS,0,0,4,5,0,0,0,0,0
13,42,21,15,IN_PROGRESS,0,0,1,1,0,0,0,0,0
13,43,23,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
14,0,4,8,IN_PROGRESS,0,1,1,2,0,0,0,0,0
14,1,3,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
14,2,4,1,IN_PROGRESS,0,6,2,5,3,0,0,1,0
14,3,5,1,IN_PROGRESS,0,8,3,6,3,0,0,1,0
14,4,5,5,IN_PROGRESS,1,8,0,5,0,0,0,0,0
14,5,6,8,IN_PROGRESS,1,0,1,3,0,0,0,0,0
14,6,8,1,IN_PROGRESS,0,0,3,6,0,0,0,0,0
14,7,9,1,IN_PROGRESS,0,0,2,7,0,0,0,0,0
14,8,10,1,IN_PROGRESS,0,10,3,7,3,0,0,1,0
14,9,10,5,IN_PROGRESS,1,10,0,5,0,0,0,0,0
14,10,11,8,IN_PROGRESS,1,0,0,3,0,0,0,0,0
14,11,13,1,IN_PROGRESS,0,0,4,7,0,0,0,0,0
14,12,14,1,IN_PROGRESS,0,9,3,6,3,0,0,1,0
14,13,15,1,IN_PROGRESS,0,11,3,5,3,0,0,1,0
14,14,16,8,IN_PROGRESS,0,0,1,3,0,0,0,0,0
14,15,14,5,IN_PROGRESS,1,18,0,5,0,0,0,0,0
14,16,16,1,IN_PROGRESS,0,11,3,4,3,0,0,1,0
14,17,21,5,IN_PROGRESS,1,0,0,2,0,0,0,0,0
14,18,18,8,IN_PROGRESS,0,2,1,1,0,0,0,0,0
14,19,21,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
14,20,22,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
14,21,23,1,IN_PROGRESS,0,17,2,2,3,0,0,1,0
14,22,4,15,IN_PROGRESS,0,11,2,5,0,0,0,0,0
14,23,3,15,IN_PROGRESS,0,23,2,4,0,0,0,0,0
14,24,3,16,IN_PROGRESS,0,9,2,4,0,0,0,0,0
14,25,5,18,IN_PROGRESS,0,0,2,6,0,0,0,0,0
14,26,6,17,IN_PROGRESS,1,9,2,7,0,0,0,0,0
14,27,8,18,IN_PROGRESS,1,7,3,6,0,0,0,0,0
14,28,9,15,IN_PROGRESS,1,0,0,6,0,0,0,0,0
14,29,8,22,IN_PROGRESS,0,5,1,2,0,0,0,0,0
14,30,9,22,IN_PROGRESS,0,10,1,3,0,0,0,0,0
14,31,10,18,IN_PROGRESS,1,0,1,6,0,0,0,0,0
14,32,12,13,IN_PROGRESS,0,7,0,3,0,0,0,0,0
