t,robot_id,target_future_conflict,state_AVAILABLE,state_IN_PROGRESS,is_carrying,x_norm,y_norm,local_density_3_smooth,local_density_5_smooth,density_3_zscore,density_3_peak,density_3_accel,density_5_zscore,density_5_peak,density_5_accel,steps_stationary,stationary_ratio,neighbour_static_count,density_3_delta,density_5_delta,density_spread,density_3_lag_1,density_5_lag_1,density_3_lag_2,density_5_lag_2,density_3_lag_3,density_5_lag_3
1,0,0.0,1,0,1,0.045454545454545456,0.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,0,0.0,0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.0,1,0,1,0.045454545454545456,0.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,1,0.5,43,0.0,0.0,1.6666666666666667,3.0,5.0,0.0,0.0,0.0,0.0
3,0,0.0,1,0,1,0.045454545454545456,0.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,2,0.6666666666666666,43,0.0,0.0,1.6666666666666667,3.0,5.0,3.0,5.0,0.0,0.0
4,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,3,0.75,43,0.0,0.0,1.6666666666666667,3.0,5.0,3.0,5.0,3.0,5.0
5,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,4,0.8,43,0.0,0.0,1.6666666666666667,3.0,5.0,3.0,5.0,3.0,5.0
6,0,0.0,0,1,1,0.045454545454545456,0.0,2.8,4.8,-1.4619519810524544,3.0,0.0,-1.4619519810524544,5.0,0.0,5,1.0,25,-1.0,-1.0,2.0,3.0,5.0,3.0,5.0,3.0,5.0
7,0,0.0,0,1,1,0.045454545454545456,0.0,2.6,4.4,-0.9263225327693094,3.0,0.0,-1.40784565493656,5.0,0.0,6,1.0,25,-1.0,-2.0,1.5,2.0,4.0,3.0,5.0,3.0,5.0
8,0,0.0,0,1,1,0.045454545454545456,0.0,2.2,3.8,-1.281147872233175,3.0,0.0,-1.2821969620550018,5.0,0.0,7,1.0,26,-2.0,-3.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0
9,0,0.0,0,1,1,0.045454545454545456,0.0,1.8,3.2,-0.8540985814887833,3.0,0.0,-0.8547979747033349,5.0,0.0,8,1.0,25,-2.0,-3.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0
10,0,0.0,0,1,1,0.045454545454545456,0.0,1.4,2.4,-0.6175483551795394,2.0,0.0,-1.1288725543711573,4.0,0.0,9,1.0,25,-2.0,-4.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
11,0,0.0,0,1,1,0.045454545454545456,0.0,1.2,1.8,-0.3654879952631136,2.0,0.0,-0.8540985814887831,3.0,-2.0,10,1.0,27,-1.0,-3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
12,0,0.0,0,1,1,0.045454545454545456,0.0,1.0,1.4,0.0,1.0,0.0,-0.6175483551795392,2.0,0.0,11,1.0,33,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
13,0,0.0,0,1,1,0.045454545454545456,0.0,1.0,1.2,0.0,1.0,2.0,-0.3654879952631134,2.0,2.0,12,1.0,30,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,0.0,0,1,1,0.045454545454545456,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,13,1.0,25,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
